,lod,A_J.39,C57BL_6J.39,129S1_SvImJ.39,NOD_ShiLtJ.39,NZO_HlLtJ.39,CAST_EiJ.39,PWK_PhJ.39,WSB_EiJ.39,pred_mean,pearson_corr,spearman_corr
ENSMUSG00000027845,16.8682960137473,-0.133813744348389,-0.031594592836873,-0.0978273229399154,-0.0817010685714745,0.0806050796747844,0.213605823752049,0.216005638371575,-0.165279813101757,0.01189034075,-0.07278673784544241,0.2380952380952381
ENSMUSG00000101517,129.591980655816,0.607214895199267,0.661491483758379,0.617750487803502,0.689055368011783,0.743392599031656,-2.13345124873892,-1.65401190603443,0.46855832096877,0.038954348125,0.9907474226884174,0.8571428571428572
ENSMUSG00000032290,9.34635856478307,0.025203684142955,0.0638355215304252,0.0437864523958549,0.0146918123067294,0.0743042266450757,-0.0814106639849701,-0.291436417978431,0.151025384942361,13.463097874999997,0.4644118984965265,0.6190476190476191
ENSMUSG00000061132,2.95402074002903,-0.0618322410712731,0.0701294508039343,-0.0466146966817318,-0.0156501272643856,0.144540362236128,-0.167217770468469,0.143889154972492,-0.0672441325266924,0.055324769875,0.014332136531694137,0.3571428571428572
ENSMUSG00000015627,2.485509697628,-0.0666776655416763,0.0180160344631251,0.0572921705054998,0.0553615289269223,-0.0303575333004478,-0.0858718877095264,0.0893698544621619,-0.0371325018060578,0.02498613275,-0.4562480859556004,-0.30952380952380953
ENSMUSG00000108456,1.33191300473724,-0.042960003220438,-0.0139955423916787,0.0058171933809694,-0.083991518718209,0.0108318444524933,-0.0063644343144337,0.0600183763834057,0.0706440844278937,0.018690480875,0.1407424393134962,0.38095238095238104
ENSMUSG00000006574,2.90980501178997,-0.0511227192353205,-0.0754111993694702,-0.169939174186105,-0.0262542331281708,-0.0274020927780327,0.10011898722523,0.266443182850046,-0.0164327513781748,0.0519042225,0.15783515214676205,0.09523809523809526
ENSMUSG00000101389,2.01955847190665,0.0608113113774884,0.0645165296810637,0.0929600544183637,0.0252631775578109,-0.0459133594855201,-0.0983476511525492,0.0284353690604444,-0.127725431457105,4.9959398375,0.18901437211422178,-0.14285714285714288
ENSMUSG00000030120,8.44801016889629,0.0296462889345168,0.0319913688412488,0.0240309441905531,0.0425694711882088,0.0001757804281776,-0.0683911869141767,-0.103821164726176,0.0437984980576509,231.89749625,-0.9415386056658943,-0.5714285714285715
ENSMUSG00000084899,1.05899435277786,0.0379449825974643,0.0159770015534191,-0.0683559870968677,0.0602842733349904,0.0936757105040256,-0.0510350260232579,-0.0637882347920575,-0.0247027200777179,7.6478199625,-0.30839394134883863,-0.2142857142857143
ENSMUSG00000031958,17.8274301459192,-0.0661611509689024,0.0089523461513074,-0.055658697624974,-0.144425529855537,-0.181360339705675,0.189904579859187,0.352177248178988,-0.103428456034386,0.15609297,-0.694691951301009,-0.19162020190612145
ENSMUSG00000039648,23.1918260712479,-0.249363903544474,-0.163480413746827,-0.0562775693622068,-0.320943396373124,0.0706905061602345,-0.0699751394374761,0.486920536173367,0.30242938013051,0.4454384225,-0.7660566874950127,-0.5952380952380953
ENSMUSG00000086944,20.2288435586075,-0.0685851741981418,-0.0834133829381187,-0.0075929438351272,-0.122573873919579,-0.0357532868494621,0.237231827130234,0.159076393896402,-0.0783895592862045,0.040022564875,0.5502426469639843,0.4047619047619048
ENSMUSG00000000823,6.14290347789272,-0.124044451907185,-0.0526173092960178,-0.0268111097320709,-0.0018391458735269,0.0878867955103217,0.134114738038274,-0.0646329046332905,0.0479433878934987,0.026323356,-0.16693637112105097,0.09523809523809526
ENSMUSG00000089768,79.684027607531,0.224396829731464,0.222661693410037,0.223386997744335,0.331102191288379,-0.462534249093246,-0.438534571933292,-0.499540854927171,0.399061963779497,0.025476493124999996,0.9562758156540309,0.523809523809524
ENSMUSG00000084758,26.4025929197005,-0.0423261976848464,-0.193381700899992,-0.125232049287153,-0.150878709151763,0.170197467178477,-0.545637220229342,-0.383598527840711,1.27085693791533,0.014304778374999997,0.2917501334580931,0.4761904761904762
ENSMUSG00000062546,21.4738681514538,-0.185043700020609,-0.0554227491644701,0.1200654033759,0.153171771101156,0.191465647141342,-0.2069542876086,0.179651504379695,-0.196933589204415,0.022459609375,-0.3024926390232074,0.2142857142857143
ENSMUSG00000057531,3.50876711652251,0.0367091862096576,-0.01099121535953,-0.0088676165782359,0.0157461078113528,0.105443605234388,-0.077343828893806,-0.0227808944415298,-0.0379153439823003,0.048195255875,0.8799354471415978,0.5476190476190477
ENSMUSG00000025260,21.3870901568049,-0.0265758900885196,0.0096883387896262,0.0050962286200455,-0.0334087509027903,-0.050991999876647,-0.180298791693547,0.378472348755132,-0.1019814836033,190.836185,0.12396631415961826,0.2380952380952381
ENSMUSG00000033983,5.95720519905868,0.0516655063038964,0.0754400980134893,-0.0125185823495073,-0.0541232236657496,-0.0278650472765865,0.0752307889603454,0.0428636329040302,-0.150693172889914,0.01380212735,0.6314232083450135,0.8571428571428572
ENSMUSG00000028673,33.4971386336478,0.0422605901401418,0.125960092790475,0.0116615459963256,0.0443739815025506,0.124694155891179,-0.321404062666662,0.101285364794169,-0.128831668448177,144.83322625,0.5172227413492263,0.7142857142857144
ENSMUSG00000001240,1.7712692634012,-0.0866385942307613,0.018548140794719,0.0105247357423632,0.0140223865094455,-0.0314951378182027,-0.0038740378639161,0.0956686153584787,-0.0167561084921228,2.1158217875,-0.6581660021610896,-0.5714285714285715
ENSMUSG00000089827,29.7416603260123,-0.297592518621737,-0.367455706684086,0.38073538203867,-0.0781464049232676,-0.420800223974421,1.15793549120345,-0.234137364365575,-0.140538654673038,0.071579000625,0.3386561474506945,-0.1666666666666667
ENSMUSG00000021595,8.64447933203071,0.0855507312274657,-0.0757157525168974,0.0192876298493676,0.0459293452337555,-0.0324492151588327,-0.150763920989109,0.0093255480762461,0.0988356342780019,0.26145236625,0.6632633618836613,0.1666666666666667
ENSMUSG00000087272,12.920923009189,-0.0931114358582912,0.189916244804309,0.134135771479847,-0.0677225737303679,-0.0092354000809882,0.0474557275505871,-0.115716155937498,-0.0857221782275941,0.11978610249999999,0.743708405673447,0.7857142857142858
ENSMUSG00000045064,9.23286159184828,-0.106223184305945,-0.0559064111965295,-0.0626701350370169,-0.124797219594614,-0.0194421478788414,-0.0650930451813867,0.327325136835928,0.106807006358411,0.034605785,-0.05974259606621083,0.10778636357219329
ENSMUSG00000030084,9.90360734389736,0.156259576486795,0.0866092651281072,-0.0508724241724519,0.0135616290795149,0.0885851076419222,-0.138285969601256,-0.19744859998981,0.0415914154271846,0.049670939125,0.3346989797463696,0.28571428571428575
ENSMUSG00000031138,14.3471095561211,-0.0630933397068461,-0.124135462006448,-0.135060941953704,-0.0906442965763219,-0.111593180748716,0.253551725212365,0.296082954084667,-0.0251074583049977,7.714197725,0.914311656745482,0.30952380952380953
ENSMUSG00000029659,7.25011665621128,-0.0013895822696081,-0.113850216187895,-0.137869690147804,-0.0633704161634041,0.0504974508337215,0.178776204389536,0.188332454350161,-0.101126204804707,0.47790748375000003,0.5309644168222573,-0.04761904761904763
ENSMUSG00000032688,14.6587231383768,-0.127044035574725,0.291794210988634,0.0622039295017025,-0.0502035551506079,-0.0330641343176907,-0.177956303628649,0.0698107491562965,-0.0355408609749617,28.476681125000002,0.32260887259693183,-0.07142857142857144
ENSMUSG00000037172,53.9143361669705,-0.0481662363688748,-0.0216324023822203,-0.133601630754553,-0.152107567462823,-0.104864433954001,0.197899528443902,-0.32993450879251,0.592407251271077,0.045517480375,0.8313950830643532,0.5476190476190477
ENSMUSG00000019738,10.7056775988352,0.117523557731598,-0.0970168529356368,-0.11967983039907,-0.0735630253422883,-0.084909080139159,0.119376320447113,0.0578658687730815,0.0804030418643649,6.4977034625000005,0.09281903945967192,-0.07142857142857144
ENSMUSG00000034724,2.56164393366399,-0.0204019852930291,-0.0292788198750085,0.0526572178205278,0.0463588305523377,0.0387787245000233,0.0006327627571636,-0.124580205790439,0.0358334753284293,0.03549409375,0.8125812508030955,0.4523809523809524
ENSMUSG00000025745,1.29595181994215,0.0314746253458988,0.0122658138730891,0.0313354222455313,-0.0833851818091009,0.0320363866919013,-0.0350629148018466,0.0250022164644044,-0.0136663680098721,0.013398280124999998,-0.39402444002692233,-0.2142857142857143
ENSMUSG00000028582,12.5260795377812,-0.0173180963188759,-0.0143842219827075,-0.117496514425616,0.007007073191513,-0.0509075637405552,0.196936885529594,0.0489807966572915,-0.0528183589106419,38.748514375,-0.3171580059549196,-0.07142857142857144
ENSMUSG00000059355,62.1389229507711,-0.210104872450033,0.252059589392506,-0.118492416431259,-0.106848575313787,0.242196282496554,0.137618685199538,-0.0822952910047707,-0.114133401888752,0.06502349387500002,0.04467539959023029,-0.04761904761904763
ENSMUSG00000004937,5.43230487606943,0.0337223355866154,0.000509460224519,0.0069948085418065,0.0343197464540257,0.0355206066094151,-0.0427530348833507,-0.119870735668218,0.0515568131351856,0.086627495125,-0.31739243489675295,-0.3571428571428572
ENSMUSG00000060509,25.7768732401584,-0.206180967772752,-0.283356202347734,0.687666148380432,0.0785868378006311,-0.124245079990225,-0.233848996682909,0.104371863126301,-0.0229936025137416,0.018778681624999998,-0.3304881324389893,0.0
ENSMUSG00000086507,9.07665836382836,0.0919789808470846,0.0517436351314453,0.0509971734663273,0.069110050468927,0.0378833017308153,-0.147986428001794,-0.0787665892550109,-0.0749601243877978,0.062004142875,0.8318108477646298,0.6190476190476191
ENSMUSG00000034041,8.20589569120835,0.161467475652542,-0.0492997486838069,0.0190393986234056,0.109892477660351,-0.11689712826945,-0.161028848143238,0.130248994774055,-0.0934226216138612,2.299652125,-0.5656298091940072,-0.5000000000000001
ENSMUSG00000030083,15.2158436498217,-0.0603550919520988,-0.0696132176334139,-0.0800311136077489,-0.0160062092450932,-0.0476616863263128,0.25870765783349,0.113799733848714,-0.0988400729175343,0.0824449605,0.6613340033361134,0.523809523809524
ENSMUSG00000022680,92.5145563881246,0.131625125239362,0.123162190653243,0.148457434737521,0.134119652467417,0.147284960197178,-0.327619642511328,-0.248127126916746,-0.108902593866654,0.07733511625,0.11945649190225933,0.0
ENSMUSG00000024245,23.4343088332245,0.136686210260828,0.127100710125883,-0.0322227837893454,0.0712106743952674,0.165384319617809,-0.450574864968339,-0.103333013863468,0.0857487482213664,0.07373406062499999,-0.20317759387493967,-0.14285714285714288
ENSMUSG00000091575,31.8137542303704,-0.0223284766476759,-0.105503570742406,-0.152192030497318,0.106480355144821,0.67489517613825,-0.117252146104109,-0.295436167972124,-0.0886631393194373,0.01881319375,0.11035152201537203,-0.14285714285714288
